,종목코드,종목명,BPS,PER,PBR,EPS,DIV,DPS,시가,고가,저가,종가,거래량,거래대금,등락률
0,060310,3S,792.0,195.0,3.94,16.0,0.0,0.0,3945.0,4090.0,3945.0,4010.0,127393.0,509831250.0,0.25
1,095570,AJ네트웍스,6089.0,0.0,0.83,0.0,4.17,210.0,5740.0,5900.0,5720.0,5840.0,54112.0,315005660.0,0.17
2,006840,AK홀딩스,50471.0,0.0,0.39,0.0,2.05,400.0,24000.0,24000.0,23250.0,23500.0,19269.0,452555800.0,-2.08
3,054620,APS홀딩스,8135.0,0.0,1.47,0.0,0.0,0.0,18850.0,19050.0,17750.0,17900.0,358375.0,6559240000.0,-1.1
4,265520,AP시스템,9041.0,14.0,2.69,1736.0,0.49,120.0,23250.0,24400.0,23200.0,24300.0,248364.0,5939581600.0,4.52
5,211270,AP위성,5321.0,0.0,2.86,0.0,0.46,70.0,12700.0,12900.0,12550.0,12800.0,52098.0,664974700.0,0.79
6,027410,BGF,15781.0,18.06,0.33,285.0,2.14,110.0,5880.0,5950.0,5830.0,5840.0,258476.0,1517368230.0,-1.85
7,282330,BGF리테일,40317.0,20.27,3.57,7103.0,1.67,2400.0,150500.0,154000.0,148500.0,151500.0,25022.0,3807338500.0,0.33
8,032790,BNGT,1038.0,0.0,3.93,0.0,0.0,0.0,0.0,0.0,0.0,4075.0,0.0,0.0,0.0
9,138930,BNK금융지주,26781.0,5.92,0.33,1498.0,3.61,320.0,8420.0,8500.0,8400.0,8470.0,1000869.0,8461773940.0,-0.59
10,001460,BYC,538911.0,23.16,0.94,21904.0,0.22,1100.0,432500.0,444000.0,432500.0,437000.0,676.0,297273000.0,0.46
11,001465,BYC우,0.0,0.0,0.0,0.0,0.58,1150.0,170500.0,171000.0,170000.0,170500.0,157.0,26732500.0,-2.01
12,013720,CBI,485.0,0.0,7.23,0.0,0.0,0.0,4305.0,4665.0,3945.0,4500.0,12492667.0,47430374705.0,25.35
13,001040,CJ,130202.0,31.5,0.62,2581.0,2.46,2000.0,88600.0,89700.0,88000.0,88600.0,72179.0,6389811500.0,0.0
14,079160,CJ CGV,3812.0,0.0,6.39,0.0,0.0,0.0,26750.0,27350.0,26550.0,27050.0,310331.0,8397710650.0,0.93
15,035760,CJ ENM,156746.0,47.0,0.86,2870.0,1.19,1600.0,172300.0,183600.0,171400.0,180400.0,480431.0,85919694800.0,5.93
16,311690,CJ 바이오사이언스,8859.0,0.0,5.49,0.0,0.0,0.0,43250.0,43450.0,42300.0,43000.0,19022.0,815022700.0,-0.23
17,00104K,CJ4우(전환),0.0,0.0,0.0,0.0,2.84,2000.0,74800.0,75300.0,74500.0,75100.0,6427.0,481230800.0,0.4
18,000120,CJ대한통운,146331.0,21.9,0.85,5683.0,0.0,0.0,136000.0,138500.0,135500.0,136500.0,16378.0,2238715000.0,0.37
19,011150,CJ씨푸드,1823.0,68.2,2.17,58.0,0.0,0.0,3705.0,3770.0,3695.0,3750.0,48138.0,180357705.0,0.67
20,011155,CJ씨푸드1우,0.0,0.0,0.0,0.0,0.0,0.0,40450.0,40450.0,39800.0,40400.0,252.0,10113700.0,0.75
21,001045,CJ우,0.0,0.0,0.0,0.0,4.15,2050.0,59000.0,59100.0,58300.0,59000.0,1665.0,97476200.0,0.0
22,097950,CJ제일제당,321970.0,8.8,1.17,42783.0,1.06,4000.0,358000.0,365000.0,355500.0,365000.0,35614.0,12881773000.0,1.67
23,097955,CJ제일제당 우,0.0,0.0,0.0,0.0,2.36,4050.0,186000.0,186500.0,183500.0,186500.0,2225.0,410681500.0,1.36
24,051500,CJ프레시웨이,15839.0,0.0,1.81,0.0,0.0,0.0,30000.0,30200.0,29400.0,30000.0,49405.0,1475344550.0,0.17
25,058820,CMG제약,1304.0,1762.0,2.7,2.0,0.0,0.0,3505.0,3535.0,3460.0,3530.0,374165.0,1312484590.0,0.71
26,023460,CNH,3446.0,2.86,0.68,824.0,2.12,50.0,2835.0,2865.0,2775.0,2780.0,93976.0,263399120.0,-1.42
27,056730,CNT85,319.0,0.0,4.86,0.0,0.0,0.0,0.0,0.0,0.0,1550.0,0.0,0.0,0.0
28,056000,COWON,1435.0,143.0,1.99,20.0,0.0,0.0,0.0,0.0,0.0,2860.0,0.0,0.0,0.0
29,065770,CS,1170.0,411.0,3.16,9.0,0.0,0.0,3240.0,3315.0,3200.0,3235.0,86216.0,279369120.0,-0.15
30,083660,CSA 코스믹,313.0,0.0,5.16,0.0,0.0,0.0,1390.0,1430.0,1325.0,1385.0,78016.0,106878015.0,-0.36
31,000590,CS홀딩스,210057.0,9.75,0.31,6657.0,0.77,500.0,61500.0,61600.0,60700.0,61300.0,3180.0,194096100.0,0.66
32,012030,DB,1559.0,29.3,0.62,33.0,0.0,0.0,1020.0,1055.0,1015.0,1055.0,1470359.0,1527614970.0,3.43
33,367340,DB금융스팩8호,0.0,0.0,0.0,0.0,0.0,0.0,2130.0,2130.0,2100.0,2120.0,21537.0,45286030.0,-0.24
34,367360,DB금융스팩9호,0.0,0.0,0.0,0.0,0.0,0.0,2115.0,2115.0,2090.0,2100.0,9781.0,20443505.0,0.0
35,016610,DB금융투자,18855.0,2.92,0.36,2327.0,4.41,300.0,6990.0,7010.0,6910.0,6960.0,74761.0,520748360.0,-0.29
36,005830,DB손해보험,90596.0,7.04,0.71,9171.0,3.41,2200.0,55100.0,56700.0,55000.0,56400.0,137844.0,7691788200.0,1.08
37,000990,DB하이텍,17851.0,22.11,4.73,3822.0,0.41,350.0,68900.0,73900.0,68300.0,72400.0,4161348.0,298494442400.0,7.26
38,000995,DB하이텍1우,0.0,0.0,0.0,0.0,0.4,400.0,107000.0,109500.0,105000.0,106000.0,1037.0,111569000.0,1.44
39,139130,DGB금융지주,29493.0,5.12,0.33,1908.0,3.99,390.0,9550.0,9610.0,9460.0,9510.0,488547.0,4652181490.0,-1.04
40,001530,DI동일,194867.0,25.23,1.35,10465.0,0.57,1500.0,293500.0,314000.0,290500.0,303500.0,41208.0,12560008000.0,5.38
41,000210,DL,67178.0,4.93,0.96,13077.0,2.02,1300.0,61700.0,62100.0,60800.0,61400.0,59791.0,3674429400.0,-0.16
42,001880,DL건설,34403.0,3.94,0.91,7953.0,1.76,550.0,27500.0,28200.0,27100.0,27600.0,10605.0,293607050.0,0.36
43,000215,DL우,0.0,0.0,0.0,0.0,3.59,1350.0,38700.0,38700.0,37400.0,37900.0,4184.0,157497100.0,-0.79
44,375500,DL이앤씨,0.0,0.0,0.0,0.0,0.0,0.0,122500.0,124000.0,120000.0,121000.0,168545.0,20452518000.0,-2.02
45,37550K,DL이앤씨우,0.0,0.0,0.0,0.0,0.0,0.0,75000.0,75500.0,73000.0,73300.0,10000.0,736051600.0,-1.35
46,068790,DMS,9256.0,4.15,0.77,1718.0,1.4,100.0,6520.0,6650.0,6470.0,6640.0,108353.0,713231900.0,1.68
47,004840,DRB동일,17702.0,43.3,0.3,121.0,0.95,50.0,5230.0,5300.0,5150.0,5200.0,19113.0,99192740.0,-1.89
48,241520,DSC인베스트먼트,2144.0,6.65,2.76,890.0,0.0,0.0,5730.0,5780.0,5620.0,5680.0,351953.0,2000906000.0,-1.73
49,155660,DSR,10087.0,10.3,0.57,558.0,0.87,50.0,5800.0,5990.0,5790.0,5850.0,61462.0,362329650.0,0.17
50,069730,DSR제강,10157.0,13.12,0.47,367.0,0.83,40.0,5050.0,5070.0,4955.0,4990.0,95561.0,478428275.0,-1.96
51,017940,E1,172701.0,4.56,0.28,10427.0,4.63,2200.0,49350.0,49500.0,48450.0,48850.0,12652.0,617078900.0,-1.01
52,245620,EDGC,839.0,0.0,4.47,0.0,0.0,0.0,3450.0,3520.0,3435.0,3465.0,296643.0,1026964280.0,-1.14
53,037370,EG,6155.0,0.0,2.25,0.0,0.0,0.0,13800.0,14100.0,13400.0,13550.0,236080.0,3212715250.0,-1.81
54,278990,EMB,,,,,,,9790.0,10500.0,9210.0,9600.0,1046.0,9666940.0,-8.13
55,079190,EMW,890.0,0.0,1.52,0.0,0.0,0.0,1760.0,1785.0,1705.0,1735.0,172258.0,299800090.0,-1.42
56,365550,ESR켄달스퀘어리츠,,,,,,,6520.0,6540.0,6460.0,6530.0,194085.0,1259437290.0,0.93
57,050120,ES큐브,5120.0,0.0,0.91,0.0,0.0,0.0,4680.0,4750.0,4650.0,4730.0,26022.0,121940905.0,0.11
58,383220,F&F,0.0,0.0,0.0,0.0,0.0,0.0,900000.0,901000.0,880000.0,895000.0,26717.0,23727264000.0,-0.33
